Age,Sex,mu,sigma,P5,P25,P50,P75,P95
12.40097632,F,2.894800517,0.861510458,0.067574062,1.41205291,2.21911402,2.877474751,3.718092142
12.4079751,F,2.895038582,0.861424449,0.068981995,1.413099805,2.219944192,2.878128131,3.718519788
12.41497388,F,2.895276493,0.861338517,0.070389598,1.414146476,2.220774204,2.878781403,3.718947392
12.42197266,F,2.895514249,0.861252664,0.071796871,1.415192924,2.221604057,2.879434568,3.719374956
12.42897144,F,2.895751851,0.861166888,0.073203815,1.416239149,2.22243375,2.880087625,3.719802478
12.43597022,F,2.895989299,0.861081191,0.07461043,1.41728515,2.223263283,2.880740574,3.720229958
12.442969,F,2.896226592,0.860995572,0.076016715,1.418330928,2.224092657,2.881393415,3.720657397
12.44996778,F,2.896463731,0.86091003,0.077422671,1.419376483,2.22492187,2.882046149,3.721084795
12.45696656,F,2.896700716,0.860824567,0.078828298,1.420421814,2.225750925,2.882698775,3.721512151
12.46396534,F,2.896937546,0.860739181,0.080233595,1.421466923,2.226579819,2.883351293,3.721939466
12.47096411,F,2.897174222,0.860653873,0.081638563,1.422511808,2.227408554,2.884003703,3.722366739
12.47796289,F,2.897410744,0.860568643,0.083043202,1.42355647,2.22823713,2.884656006,3.722793971
12.48496167,F,2.897647111,0.860483491,0.084447513,1.424600908,2.229065546,2.885308201,3.723221161
12.49196045,F,2.897883324,0.860398417,0.085851494,1.425645124,2.229893802,2.885960288,3.723648309
12.49895923,F,2.898119383,0.860313421,0.087255146,1.426689117,2.230721898,2.886612267,3.724075416
12.50595801,F,2.898355287,0.860228502,0.08865847,1.427732886,2.231549835,2.887264139,3.724502481
12.51295679,F,2.898591036,0.860143661,0.090061465,1.428776432,2.232377613,2.887915903,3.724929505
12.51995557,F,2.898826632,0.860058898,0.091464131,1.429819756,2.233205231,2.888567559,3.725356487
12.52695435,F,2.899062073,0.859974213,0.092866469,1.430862856,2.234032689,2.889219107,3.725783427
12.53395313,F,2.899297359,0.859889605,0.094268478,1.431905734,2.234859988,2.889870547,3.726210325
12.54095191,F,2.899532492,0.859805075,0.095670158,1.432948389,2.235687128,2.89052188,3.726637181
12.54795069,F,2.89976747,0.859720622,0.09707151,1.433990821,2.236514107,2.891173105,3.727063996
12.55494947,F,2.900002293,0.859636248,0.098472534,1.43503303,2.237340928,2.891824222,3.727490769
12.56194825,F,2.900236962,0.85955195,0.09987323,1.436075016,2.238167589,2.892475231,3.7279175
12.56894703,F,2.900471477,0.859467731,0.101273597,1.437116779,2.23899409,2.893126132,3.728344189
12.57594581,F,2.900705838,0.859383589,0.102673636,1.43815832,2.239820432,2.893776925,3.728770836
12.58294459,F,2.900940044,0.859299524,0.104073347,1.439199638,2.240646614,2.894427611,3.729197441
12.58994337,F,2.901174096,0.859215537,0.10547273,1.440240733,2.241472637,2.895078189,3.729624004
12.59694215,F,2.901407993,0.859131628,0.106871785,1.441281606,2.242298501,2.895728658,3.730050525
12.60394093,F,2.901641736,0.859047796,0.108270512,1.442322256,2.243124205,2.89637902,3.730477004
12.61093971,F,2.901875325,0.858964042,0.109668911,1.443362683,2.24394975,2.897029274,3.730903441
12.61793849,F,2.902108759,0.858880364,0.111066982,1.444402888,2.244775135,2.897679421,3.731329836
12.62493727,F,2.902342039,0.858796765,0.112464726,1.44544287,2.245600361,2.898329459,3.731756189
12.63193605,F,2.902575164,0.858713243,0.113862142,1.44648263,2.246425428,2.898979389,3.7321825
12.63893483,F,2.902808136,0.858629798,0.115259231,1.447522167,2.247250335,2.899629212,3.732608768
12.6459336,F,2.903040953,0.85854643,0.116655991,1.448561482,2.248075083,2.900278927,3.733034994
12.65293238,F,2.903273615,0.85846314,0.118052425,1.449600574,2.248899671,2.900928533,3.733461178
12.65993116,F,2.903506123,0.858379927,0.119448531,1.450639444,2.249724101,2.901578032,3.73388732
